Chemical,Sentence
"4-amino-1-[2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one","4-amino-1-[2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one is a powerful antimicrobial compound with"
"6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine","6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine is a colorless, tasteless, and odorless solid with a melting point of"
"[6-[6-[6-[[12,14-dihydroxy-10,13-dimethyl-17-(5-oxo-2H-furan-3-yl)-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-yl]oxy]-4-hydroxy-2-methyloxan-3-yl]oxy-4-hydroxy-2-methyloxan-3-yl]oxy-2-methyl-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-4-yl] acetate","[6-[6-[6-[(2-methyl-4-oxo-1,2,3,4,5,6,7,8,9,11,12,15,16"
"2-heptadec-8-enylbenzene-1,4-diol","The 2-heptadec-8-enylbenzene-1,4-diol is a triene and is a member of the terpene family."
"2-[4-(2-chlorophenyl)-1,3-dithiolan-2-ylidene]-2-imidazol-1-ylacetonitrile","The chemical compound [2-[4-(2-chlorophenyl)-1,3-dithiolan-2-ylidene]-2-imidazol-1-ylacetonitrile] is"
"4,4,10,13,14,17-hexamethyl-17-(6-methylhept-5-en-2-yl)-1,2,3,5,6,7,11,12,15,16-decahydrocyclopenta[a]phenanthren-3-ol","Hexamethylamine (Hexamethylene-Amine), is a chemical compound with the formula HXM."
"2-[[3-methyl-4-(2,2,2-trifluoroethoxy)-2-pyridinyl]methylsulfinyl]-1H-benzimidazole","A highly reactive, fluorinated cyclic amine that is highly fluorinated and can be chiral, highly reactive, and highly fluorinated."
"4-hydroxy-3-(3-methylbut-2-enyl)naphthalene-1,2-dione","The 4-hydroxy-3-(3-methylbut-2-enyl)naphthalene-1,2-dione is a greenhouse gas and a potent greenhouse gas."
"2,2-dimethyl-3,4-dihydrobenzo[h]chromene-5,6-dione","The chemical compound 2,2-dimethyl-3,4-dihydrobenzo[h]chromene-5,6-dione is a yellow, crystalline powder with a strong odor of"
"(11-ethyl-3,8-dihydroxy-4,6,16-trimethoxy-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-13-yl) 2-acetamidobenzoate","The molecule, (11-ethyl-3,8-dihydroxy-4,6,16-trimethoxy-11-azahexacyclo[7.7.2.12,"
"6-[7-[5-ethyl-5-(5-ethyl-5-hydroxy-6-methyloxan-2-yl)-3-methyloxolan-2-yl]-4-hydroxy-3,5-dimethyl-6-oxononyl]-2-hydroxy-3-methylbenzoate","The chemical compound, 6-[7-[5-ethyl-5-(5-ethyl-5-hydroxy-6-methyloxan-2-yl)-3-methylox"
"6-[7-[5-ethyl-5-(5-ethyl-5-hydroxy-6-methyloxan-2-yl)-3-methyloxolan-2-yl]-4-hydroxy-3,5-dimethyl-6-oxononyl]-2-hydroxy-3-methylbenzoic acid",The chemical compound 6-[7-[5-ethyl-5-(5-ethyl-5-hydroxy-6-methyloxan-2-yl)-3-methyloxolan
7-[[2-carboxy-2-(4-hydroxyphenyl)acetyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-oxa-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,"The chemical compound, 7-[[2-carboxy-2-(4-hydroxyphenyl)acetyl]amino]-7-methoxy-3-[(1-methyltet"
"propan-2-yl 7-[3,5-dihydroxy-2-(3-hydroxy-5-phenylpentyl)cyclopentyl]hept-5-enoate","The chemical compound, propan-2-yl 7-[3,5-dihydroxy-2-(3-hydroxy-5-phenylpentyl)cyclopentyl]hept-5-eno"
"4-(17-hydroxy-5,12-dimethyl-3-oxo-2,16-dioxabicyclo[13.3.1]nonadeca-4,8,10-trien-17-yl)-1,3-thiazolidin-2-one","A 2009 study published in the Journal of Medicinal Chemistry revealed that 4-(17-hydroxy-5,12-dimethyl-3-oxo-2,16-diox"
"4-(15-hydroxy-5,10-dimethyl-3-oxo-2,14-dioxabicyclo[11.3.1]heptadeca-4,8-dien-15-yl)-1,3-thiazolidin-2-one","The chemical compound, 4-(15-hydroxy-5,10-dimethyl-3-oxo-2,14-dioxabicyclo[11.3.1]hept"
dodecanoic acid,The dodecanoic acid is a type of acid that is commonly used in the production of rubber and plastics.
"5-[(2,5-dihydroxyphenyl)methyl-[(2-hydroxyphenyl)methyl]amino]-2-hydroxybenzoic acid","The chemical compound 5-[(2,5-dihydroxyphenyl)methyl-[(2-hydroxyphenyl)methyl]amino]-2-hydroxybenzoic acid has"
5-[bis[(2-hydroxyphenyl)methyl]amino]-2-hydroxybenzoic acid,The chemical compound 5-[bis[(2-hydroxyphenyl)methyl]amino]-2-hydroxybenzoic acid is a metabolic inhibitor of epidermal growth factor
"5-[(2,5-dihydroxyphenyl)methylamino]-2-hydroxybenzoic acid","5-[(2,5-dihydroxyphenyl)methylamino]-2-hydroxybenzoic acid"
"3-[4-hydroxy-8,8-dimethyl-3-(3-methylbutanoyl)-5,7-bis(3-methylbut-2-enyl)-2,9-dioxo-1-bicyclo[3.3.1]non-3-enyl]-3-phenylpropanoic acid","A chemical compound is a complex chemical substance that contains elements, atoms, molecules, or ions bonded together in a specific manner. In this case, the chemical compound is a 3-[4-hydroxy-"
2-[hydroxy-[4-(trifluoromethyl)anilino]methylidene]-3-oxobutanenitrile,2-[Hydroxy-[4-(trifluoromethyl)anilino]methylidene]-3-oxobutanenitrile is a potent and selective inhibitor of
"5-methyl-N-[4-(trifluoromethyl)phenyl]-1,2-oxazole-4-carboxamide","5-methyl-N-[4-(trifluoromethyl)phenyl]-1,2-oxazole-4-carboxamide is a highly reactive organic chemical compound that exhib"
"(5-methyl-2-oxo-1,3-dioxol-4-yl)methyl 6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate","The chemical compound (5-methyl-2-oxo-1,3-dioxol-4-yl)methyl 6-[(2-amino-2-phenylacetyl)am"
"19-ethyl-6-hydroxy-5,7,9,11,13,17-hexamethyl-21-(3-methyl-6-oxo-2,3-dihydropyran-2-yl)-8-oxohenicosa-2,10,12,14,18,20-hexaenoic acid","The chemical compound 19-ethyl-6-hydroxy-5,7,9,11,13,17-hexamethyl-21-(3-methyl-6-oxo"
"4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile","A new compound was discovered in the course of research work, the chemical compound 4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzon"
2-[[2-[[2-[[2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]acetyl]amino]acetyl]amino]-3-phenylpropanoyl]amino]-4-methylpentanoic acid,"The chemical compound, 2-[[2-[[2-[[2-[[2-amino-3-(4-hydroxyphenyl)propanoyl]amino]acetyl]amino]acetyl"
"2-[[4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioate","The chemical compound 2-[(4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methyl"
3-amino-2-hydroxy-2-(1H-imidazol-5-ylmethyl)-5-methylhexanoic acid,Amino-2-hydroxy-2-[1H-imidazol-5-yl]-5-methylhexanoic acid is a chemical compound with the chemical formula [C6H10
"5,12-dihydroxyicosa-6,8,10-trienoic acid","5,12-dihydroxyicosa-6,8,10-trienoic acid is a chemical compound that is composed of five double bonds and twelve carbon atoms."
"6-[2-[(4-amino-4-carboxybutanoyl)amino]-3-(carboxymethylamino)-3-oxopropyl]sulfanyl-5-hydroxyicosa-7,9,11,14-tetraenoic acid","The compound contains a hydroxyl group at the 2-position, two amino groups at the 3- and 4-positions, and a carboxylic acid group at the 5-position. Its structure is"
"6-[2-amino-3-(carboxymethylamino)-3-oxopropyl]sulfanyl-5-hydroxyicosa-7,9,11,14-tetraenoic acid","The chemical compound, 6-[2-amino-3-(carboxymethylamino)-3-oxopropyl]sulfanyl-5-hydroxyicosa-7,9,11"
"6-(2-amino-2-carboxyethyl)sulfanyl-5-hydroxyicosa-7,9,11,14-tetraenoic acid","The chemical compound 6-(2-amino-2-carboxyethyl)sulfanyl-5-hydroxyicosa-7,9,11,14-tetraenoic acid is a"
2-acetamido-N-[1-[[5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]-4-methylpentanamide,The chemical compound 2-acetamido-N-[1-[[5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-4-meth
N-[1-[[1-[[1-[[1-[[1-[[1-[[5-(diaminomethylideneamino)-1-[2-(ethylcarbamoyl)pyrrolidin-1-yl]-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide,A molecule consisting of the chemical compound N-[1-[[1-[[1-[[1-[[1-[[5-(diaminomethylideneamino)-1-[2-(ethylcarb
"17-prop-2-enyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-trien-4-ol","Chemical compound 17-prop-2-enyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),"
"6-phenyl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole","The 6-phenyl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole is a fluorescent biomolecule that can"
"5-[3-(tert-butylamino)-2-hydroxypropoxy]-3,4-dihydro-2H-naphthalen-1-one","The compound, 5-[3-(tert-butylamino)-2-hydroxypropoxy]-3,4-dihydro-2H-naphthalen-1-one, has a"
1-[4-cyano-4-(4-fluorophenyl)cyclohexyl]-3-methyl-4-phenylpiperidine-4-carboxylic acid,"A chemical compound consisting of four cyano groups and four fluorine atoms, a piperidine ring, and four methyl groups is known as 1-[4-cyano-4-(4-fluorophen"
"3-(2-methoxyphenothiazin-10-yl)-N,N,2-trimethylpropan-1-amine","3-(2-methoxyphenothiazin-10-yl)-N,N,2-trimethylpropan-1-amine (CAS #: 124338-26"
"4-(2-amino-1-hydroxypropyl)benzene-1,2-diol","The 4-(2-amino-1-hydroxypropyl)benzene-1,2-diol has a dihydroxy hydroxyl group. This compound is a structural isomer of"
"17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-trien-4-ol","17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-trien-"
2-[(3-fluoroanilino)-hydroxymethylidene]-3-oxobutanenitrile,"A chemical compound consisting of two hydroxyl groups, an amine group, and three hydrocarbon chains, each containing a nitrogen atom, is called 2-(2-hydroxyethoxy)ethyne"
2-[hydroxy-[4-(trifluoromethoxy)anilino]methylidene]-3-oxobutanenitrile,The chemical compound 2-[hydroxy-[4-(trifluoromethoxy)anilino]methylidene]-3-oxobutanenitrile is a fluorine-
"2-[(2,5-dibromoanilino)-hydroxymethylidene]-3-oxobutanenitrile","2-[(2,5-dibromoanilino)-hydroxymethylidene]-3-oxobutanenitrile is a white or light yellow crystalline powder, which is"
"6-[1-(3,5,5,8,8-pentamethyl-6,7-dihydronaphthalen-2-yl)cyclopropyl]pyridine-3-carboxylic acid","This compound is a heterocyclic compound with six-membered ring, and its name is [6-[1-(3,5,5,8,8-pentamethyl-6,7-dihyd"
3-[4-hydroxy-2-methoxy-5-(2-methylbut-3-en-2-yl)phenyl]-1-(4-hydroxyphenyl)prop-2-en-1-one,"The chemical compound, 3-[4-hydroxy-2-methoxy-5-(2-methylbut-3-en-2-yl)phenyl]-1-(4-hydroxy"
"[2-(2,6-dimethylanilino)-2-oxoethyl]-diethylazanium","[2-(2,6-dimethylanilino)-2-oxoethyl]-diethylazanium is a synthetic aziridine compound with two benzene rings."
"[2-(2,6-dimethylanilino)-2-oxoethyl]-triethylazanium","The 2,6-dimethylanilino-2-oxoethyl group is a common functional group in organic chemistry. It is widely used as a heterocycle building block in organic synthesis."
"2-[4-[4,4-bis(4-fluorophenyl)butyl]piperazin-1-yl]-N-(2,6-dimethylphenyl)acetamide","2-[4-[4,4-bis(4-fluorophenyl)butyl]piperazin-1-yl]-N-(2,6-dimethylphenyl)acetamide"
7-[3-hydroxy-2-(3-hydroxy-5-methylnon-1-enyl)-5-oxocyclopentyl]hept-2-enoic acid,7-[3-hydroxy-2-(3-hydroxy-5-methylnon-1-enyl)-5-oxocyclopentyl]hept-2-enoic acid
"N-[2-hydroxy-1-(3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl)propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide","The compound N-[2-hydroxy-1-(3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl)propyl]-1-meth"
"N-[[3-(3-fluoro-4-morpholin-4-ylphenyl)-2-oxo-1,3-oxazolidin-5-yl]methyl]acetamide","N-[[3-(3-fluoro-4-morpholin-4-ylphenyl)-2-oxo-1,3-oxazolidin-5-yl]methyl]acetamide is a"
"octadeca-9,12-dienamide","The molecule has a long, branching chain of carbon atoms, each carrying a nitrogen atom from the carbocation intermediate."
"octadeca-9,12-dienoic acid","An octadeca-9,12-dienoic acid (C124:12) is a biologically active compound that is present in many natural products, such as the pollen of aromatic plants"
"1-phenyl-3,3-bis(pyridin-4-ylmethyl)indol-2-one",The compound is a pyrrole derivative that exhibits a pleiotropic activity in various cellular processes.
"2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoate","This compound is a novel 2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoate."
"5,6,15-trihydroxyicosa-7,9,11,13-tetraenoic acid","5,6,15-trihydroxyicosa-7,9,11,13-tetraenoic acid is an organic compound that is a member of the sesquiterpene class."
"5,14,15-trihydroxyicosa-6,8,10,12-tetraenoic acid","A chemical compound, 5,14,15-trihydroxyicosa-6,8,10,12-tetraenoic acid, has been discovered by scientists."
"O-(5,6,7,8-tetrahydronaphthalen-2-yl) N-(6-methoxy-2-pyridinyl)-N-methylcarbamothioate","O-(5,6,7,8-tetrahydronaphthalen-2-yl) N-(6-methoxy-2-pyridinyl)-N-methylcarbamothioate"
1-[6-amino-2-[(1-carboxy-3-phenylpropyl)amino]hexanoyl]pyrrolidine-2-carboxylic acid,A molecule of 1-[6-amino-2-[(1-carboxy-3-phenylpropyl)amino]hexanoyl]pyrrolidine-2-carboxylic
"1,1-diethyl-3-(7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl)urea","The chemical compound 1,1-diethyl-3-(7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-"
lithium hydroxide,Lithium hydroxide (LiOH) is a chemical compound that is commonly used as a leaching agent in the mining industry. It is also used as a water softener.
"2-[5-amino-2-(aminomethyl)-6-[5-[3,5-diamino-2-[3-amino-5-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-hydroxycyclohexyl]oxy-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]oxy-4-hydroxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",(1) A two-component aqueous acid-base solution exhibits a sharp acid-base indicator.
3-benzhydrylidene-1-azabicyclo[2.2.2]octane,"The chemical compound, 3-benzhydrylidene-1-azabicyclo[2.2.2]octane, contains two carbocycles joined by an azabicyclic ring."
"3-(dithiophen-2-ylmethylidene)-1,1-dimethylpiperidin-1-ium","The chemical compound (dithiophen-2-ylmethylidene)-1,1-dimethylpiperidin-1-ium is used as a pharmaceutical intermediate in the manufacture of"
"N-[3-(11,19-dihydroxy-8,12-dimethyl-2,6-dioxo-3,7-dioxabicyclo[13.4.0]nonadeca-1(15),9,12,16,18-pentaen-4-yl)prop-1-enyl]-4-methoxyiminobut-2-enamide","The N-[3-(11,19-dihydroxy-8,12-dimethyl-2,6-dioxo-3,7-dioxabicyclo[13.4"
"N-[3-[11,19-dihydroxy-8-(hydroxymethyl)-12-methyl-2,6-dioxo-3,7-dioxabicyclo[13.4.0]nonadeca-1(15),9,12,16,18-pentaen-4-yl]prop-1-enyl]-4-methoxyiminobut-2-enamide","The N-[3-[11,19-dihydroxy-8-(hydroxymethyl)-12-methyl-2,6-dioxo-3,7-diox"
2-[6-(2-hydroxy-2-phenylethyl)-1-methylpiperidin-2-yl]-1-phenylethanone,The compound [6-(2-hydroxy-2-phenylethyl)-1-methylpiperidin-2-yl]-1-phenylethanone is a versatile nucleoside triphosph
2-(2-carboxyanilino)-4-chlorobenzoic acid,The chemical compound (2-(2-carboxyanilino)-4-chlorobenzoic acid) is a carbazole-based compound having a crystal structure.
"1-(4-chlorophenyl)-2-[3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)propyl-methylamino]ethanone","The chemical compound 1-(4-chlorophenyl)-2-[3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)propyl-m"
"1-ethyl-6,8-difluoro-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid","The chemical compound, 1-ethyl-6,8-difluoro-7-(3-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid"
"1-[bis(4-fluorophenyl)methyl]-4-[(2,3,4-trimethoxyphenyl)methyl]piperazine","The chemical compound, [bis(4-fluorophenyl)methyl]-4-[(2,3,4-trimethoxyphenyl)methyl]piperazine is a structurally diverse"
1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea,"A new compound has been discovered that can be used to treat cancer. The chemical compound, 1-(2-chloroethyl)-3-cyclohexyl-1-nitrosourea, was discovered by scientists"
"5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one","5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis(3-methylbut-2-enyl)-2,3-dihydrochromen-4-"
"1-(2-bromo-1,2-diphenylethenyl)-4-ethylbenzene","The chemical compound 1-(2-bromo-1,2-diphenylethenyl)-4-ethylbenzene is a member of the benzene-like group of compounds."
"1-[(3,4-dichlorophenyl)methyl]indazole-3-carboxylic acid","The chemical compound (1-[(3,4-dichlorophenyl)methyl]indazole-3-carboxylic acid) is a potent and selective serotonin reuptake in"
"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-ium-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide","The chemical compound 4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-ium-1-yl]-N,N-dimethyl-2,2-"
"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide","4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide is"
7-[(2-amino-2-phenylacetyl)amino]-3-chloro-8-oxo-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,"A chemical compound, 7-[(2-amino-2-phenylacetyl)amino]-3-chloro-8-oxo-1-azabicyclo[4.2.0]"
"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene)piperidine-1-carboxylate","The chemical compound ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,"
"7-chloro-5-(2-chlorophenyl)-3-hydroxy-1,3-dihydro-1,4-benzodiazepin-2-one","7-Chloro-5-(2-chlorophenyl)-3-hydroxy-1,3-dihydro-1,4-benzodiazepin-2-one is a versatile chemical comp"
"4-[(3,4-dichlorobenzoyl)amino]-5-(dipentylamino)-5-oxopentanoate","The compound 4-[(3,4-dichlorobenzoyl)amino]-5-(dipentylamino)-5-oxopentanoate is a synthetic pesticide that is being studied to"
"4-[(3,4-dichlorobenzoyl)amino]-5-(dipentylamino)-5-oxopentanoic acid","4-[(3,4-dichlorobenzoyl)amino]-5-(dipentylamino)-5-oxopentanoic acid is an antioxidant that has shown potential in reducing ox"
[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,2-butyl-5-chloro-3-[[4-[2-(2-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-ylm
"[8-[2-(4-hydroxy-6-oxooxan-2-yl)ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2-methylbutanoate","A new isomer of the chemical compound [8-[2-(4-hydroxy-6-oxooxan-2-yl)ethyl]-3,7-dimethyl-1,2,3,"
"2-(2-acetyl-5-methylanilino)-2-(2,6-dichlorophenyl)acetamide","This compound, 2-(2-acetyl-5-methylanilino)-2-(2,6-dichlorophenyl)acetamide, is a strong acetylcholinesterase"
"8-chloro-6-(4-methylpiperazin-1-yl)benzo[b][1,4]benzoxazepine","8-chloro-6-(4-methylpiperazin-1-yl)benzo[b][1,4]benzoxazepine is a synthetic phenanthridine compound, which"
2-[4-[(2-oxocyclopentyl)methyl]phenyl]propanoic acid,A new chemical compound called 2-[4-[(2-oxocyclopentyl)methyl]phenyl]propanoic acid (2-CMPPA) was discovered through a computational strategy. The compound
"7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecane","A new study has revealed that a chemical compound called 7,15-diazatetracyclo[7.7.1.02,7.010,15]heptadecane, discovered in a"
"2-(3,4-dihydroxyphenyl)-4,5-dihydroxychromen-7-one","The chemical compound 2-(3,4-dihydroxyphenyl)-4,5-dihydroxychromen-7-one (also referred to as 4,5-diphenyldihydroxy"
"2,6-ditert-butyl-4-(ethylaminomethyl)phenol","2,6-ditert-butyl-4-(ethylaminomethyl)phenol is a colorless liquid with a strong earthy odor, making it a popular plant toxicant."
1-[2-hydroxy-3-propyl-4-[4-(2H-tetrazol-5-yl)butoxy]phenyl]ethanone,"A new chemical compound has been synthesized, which is a 2-hydroxy-3-propyl-4-[(4-butoxyphenyl)methyl]-4-[4-(2H"
1-methyl-N-(8-methyl-8-azabicyclo[3.2.1]octan-3-yl)indazole-3-carboxamide,The 1-methyl-N-(8-methyl-8-azabicyclo[3.2.1]octan-3-yl)indazole-3-carboxamide compound acts as
8-phenyl-2-piperazin-1-ylchromen-4-one,A new research paper published in the journal Angewandte Chemie details the structure and synthesis of this promising new antibiotic (8-phenyl-2-piperazin-1-ylchromen-4-
"3-hydroxybutan-2-yl 7-methyl-4-propan-2-yl-6,6a,8,9,10,10a-hexahydroindolo[4,3-fg]quinoline-9-carboxylate","The chemical compound 3-hydroxybutan-2-yl 7-methyl-4-propan-2-yl-6,6a,8,9,10,10a-hexah"
2-morpholin-4-yl-8-phenylchromen-4-one,"2-morpholin-4-yl-8-phenylchromen-4-one is a chemical compound that has been used to produce pigments, which are used in the production of ink, paint, and d"
"2-[[4-(3-amino-1,9-dioxo-5,6,6a,7-tetrahydro-4H-imidazo[1,5-f]pteridin-8-yl)benzoyl]amino]pentanedioic acid","The chemical compound, 2-[(4-amino-1,9-dioxo-5,6,6a,7-tetrahydro-4H-imidazo[1,5-f"
"2-[[4-[(2,5-diamino-4-oxo-1H-pyrimidin-6-yl)carbamoylamino]benzoyl]amino]pentanedioic acid","The chemical compound 2-[[4-[(2,5-diamino-4-oxo-1H-pyrimidin-6-yl)carbamoylamino]benzoyl]amino]"
"6-anilinoquinoline-5,8-dione","The chemical compound 6-anilinoquinoline-5,8-dione is a fluorinated quinolone and is an antimicrobial pharmaceutical."
"2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene","The chemical compound 2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,1"
"5,7-dioxa-12-azapentacyclo[10.6.1.02,10.04,8.015,19]nonadeca-2,4(8),9,15-tetraene-17,18-diol","Write a scientific or descriptive sentence about the chemical compound: 5,7-dioxa-12-azapentacyclo[10.6.1.02,10.04,8.0"
"5-(3,7-dimethylocta-1,6-dien-3-yl)-13-(hydroxymethyl)-9-methyl-10-propan-2-yl-3,9,12-triazatricyclo[6.6.1.04,15]pentadeca-1,4,6,8(15)-tetraen-11-one",A new mechanism for cholesterol biosynthesis has been proposed.
"2,6-diamino-N-[6-amino-1-[[1-[[1-[[1-[[1-[[1-[[1-[(1-amino-3-hydroxy-1-oxopropan-2-yl)amino]-3-hydroxy-1-oxobutan-2-yl]amino]-1-oxopropan-2-yl]amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-1-oxohexan-2-yl]hexanamide","2,6-diamino-N-[6-amino-1-[[1-[[1-[[1-[[1-[[1-[(1-amino-3-hydroxy-1-oxop"
"N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","A new compound, N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-"
"(7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl)methanol","The product is a white or yellowish solid, with a bitter, earthy odor, and a strong, camphor-like taste. It is soluble in water, alcohol, ethanol, and oil. It is"
(3-hexadecoxy-2-hydroxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,The chemical compound 3-hexadecoxy-2-hydroxypropyl) 2-(trimethylazaniumyl)ethyl phosphate exhibits a red-brown color upon reaction with excess sul
2-[(3-hexadecoxy-2-hydroxypropoxy)-hydroxyphosphoryl]oxyethyl-trimethylazanium,"""The chemical compound (2-[(3-hexadecoxy-2-hydroxypropoxy)-hydroxyphosphoryl]oxyethyl-trimethylazanium) has a strong affinity"
(2-hydroxy-3-octadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate,(2-hydroxy-3-octadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate is a chemical compound with the formula HO2CCH2CH2CH2
"5-acetamido-2-[5-[3-acetamido-5-hydroxy-6-(hydroxymethyl)-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-2-[6-(2-amino-3-hydroxyoctadec-4-enoxy)-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",The chemical compound is a hydrochloride salt of 5-acetamido-2-[5-[3-acetamido-5-hydroxy-6-(hydroxymethyl)-4-
sodium (2-hydroxy-3-octadec-9-enoyloxypropyl) hydrogen phosphate,The compound sodium (2-hydroxy-3-octadec-9-enoyloxypropyl) hydrogen phosphate is a highly reactive intermediate in the phosphoramidite reaction.
(2-hydroxy-3-phosphonooxypropyl) octadec-9-enoate,"The chemical compound, (2-hydroxy-3-phosphonooxypropyl) octadec-9-enoate, is an organic compound with the molecular formula C16H21O"
"6-amino-2-[[2-(2,6-diaminohexanoylamino)-3-(1H-indol-3-yl)propanoyl]amino]hexanoic acid",The compound exhibits antifungal activity against various fungal species.
"6-amino-2-[[2-(2,6-diaminohexanoylamino)-3-(4-hydroxyphenyl)propanoyl]amino]hexanoic acid","Amidine is an important intermediate in the synthesis of various important drugs such as penicillins, carbamates, and cocaine."
"trimethyl-[3-(2,2,2-trifluoro-1,1-dihydroxyethyl)phenyl]azanium","Trimethyl-[3-(2,2,2-trifluoro-1,1-dihydroxyethyl)phenyl]azanium is a chemical compound with a molecular weight of 42"
